,2020,2015-2019,change,smoothed change
2020-10-19,11.607798717165545,12.029527794746487,0.03505782477722175,-0.0037945021532508547
2020-10-20,11.717022907758093,12.063003665241295,0.028681145018642606,-0.003553823272813922
2020-10-21,11.846439416445623,12.107698143236075,0.02157790223209377,-0.0033271491286837387
2020-10-22,11.991850557029178,12.161279045092838,0.013931798409972829,-0.0031117647230432845
2020-10-23,12.141821209302327,12.231575720930234,0.007337935330304357,-0.002902473164270815
2020-10-24,12.298268112244898,12.320611734693877,0.001813515670334831,-0.0026923553933224063
2020-10-25,12.45646994382022,12.415779213483145,-0.0032773400394303653,-0.0024734503958223006
2020-10-26,12.578801404494381,12.478419662921349,-0.008044427442307489,-0.0022373394449045816
2020-10-27,12.70113286516854,12.54106011235955,-0.012763893273363136,-0.0019756791008243846
2020-10-28,12.738000354879595,12.594575614702155,-0.011387818420020013,-0.0016807063228063013
2020-10-29,12.757822915082382,12.646768263624843,-0.008781267209343913,-0.0013456359521438694
2020-10-30,12.777645475285171,12.698960912547529,-0.006196141816602996,-0.0009646337967893995
2020-10-31,12.797468035487958,12.751153561470215,-0.003632179143202352,-0.0005326104249253542
2020-11-01,12.828052217020105,12.794291076838336,-0.002638765991723302,-4.5000811040219694e-05
2020-11-02,12.881040374552466,12.825742467639769,-0.0043114780335109515,0.000502422977532121
2020-11-03,12.934028532084826,12.857193858441201,-0.005976006466852812,0.0011135840341328805
2020-11-04,12.987016689617187,12.888645249242634,-0.007632411201660805,0.001791923087871336
2020-11-05,13.044972583701833,12.914072836386607,-0.010136209464949308,0.002540170853567912
2020-11-06,13.10558802880288,12.935533798379838,-0.013146286274196228,0.0033601002284615773
2020-11-07,13.138351305130513,12.956190864086409,-0.014059721947215165,0.004252206711349293
2020-11-08,13.171114581458147,12.97684792979298,-0.01497024953333681,0.005215368741739241
2020-11-09,13.121210537049624,12.998191264445955,-0.009464337775992204,0.006246632247232365
2020-11-10,13.050510333106727,13.019707239972808,-0.0023658821635672567,0.007341130207938059
2020-11-11,12.979810129163832,13.041223215499661,0.004709150769142467,0.008492449840877901
2020-11-12,12.929130236850199,13.065652506920948,0.010448943900691732,0.009693206227214927
2020-11-13,12.881790956628729,13.090567917563826,0.015948655722948235,0.010935613000119053
2020-11-14,12.834451676407259,13.115483328206706,0.021427472001359527,0.01221195467808749
2020-11-15,12.819494395280236,13.143652802359881,0.02466273356075288,0.013515016220093221
2020-11-16,12.894378260869566,13.177328260869565,0.021472486258100387,0.014838466387311943
2020-11-17,13.017261556064073,13.213369450800915,0.014841626540984643,0.016176981381772548
2020-11-18,13.14014485125858,13.249410640732265,0.008246841496313273,0.017525843273457194
2020-11-19,13.246260767590618,13.28462025586354,0.0028875110868141762,0.018880201012348156
2020-11-20,13.343035632183907,13.311686206896551,-0.002355030369564748,0.020234296056813986
2020-11-21,13.425633514986377,13.333283923705721,-0.006926245012788046,0.021580772387343725
2020-11-22,13.486941416893734,13.357534604904632,-0.00968792638887006,0.022910026142758423
2020-11-23,13.493389258312021,13.390886445012788,-0.007654669742749531,0.024209632924015977
2020-11-24,13.399335549872125,13.444818670076724,0.0033829478344566954,0.02546398862860086
2020-11-25,13.30528184143223,13.498750895140663,0.014332367136138502,0.026654453247007125
2020-11-26,13.205299764705892,13.553323294117643,0.025678095464807482,0.027760178039656278
2020-11-27,13.028907607843143,13.616146823529409,0.04312814949024235,0.028759089953407695
2020-11-28,12.939038397017708,13.669785274930103,0.05345708533202487,0.029629011235370907
2020-11-29,12.904462441752097,13.701006150978564,0.058137606862513236,0.03034908463519931
2020-11-30,12.869886486486488,13.732227027027026,0.0627968456131206,0.030900744296321808
2020-12-01,12.837510067114094,13.760620134228189,0.0670834641251341,0.03126820594473094
2020-12-02,12.833483221476511,13.75256644295302,0.06682994227215378,0.03143887209486013
2020-12-03,12.890151687677918,13.741042862952419,0.061923333167718364,0.03140365474882624
